Episode: 1 | Reward: 78.0 | Polciy Loss: -2.6359190940856934 | Steps: 78
Episode: 2 | Reward: 18.0 | Polciy Loss: -2.822580575942993 | Steps: 96
Episode: 3 | Reward: 12.0 | Polciy Loss: -2.971133232116699 | Steps: 108
Episode: 4 | Reward: 10.0 | Polciy Loss: -3.0241219997406006 | Steps: 118
Episode: 5 | Reward: 10.0 | Polciy Loss: -3.1379387378692627 | Steps: 128
Episode: 6 | Reward: 31.0 | Polciy Loss: -3.4825000762939453 | Steps: 159
Episode: 7 | Reward: 34.0 | Polciy Loss: -3.906611204147339 | Steps: 193
Episode: 8 | Reward: 12.0 | Polciy Loss: -4.037258625030518 | Steps: 205
Episode: 9 | Reward: 49.0 | Polciy Loss: -4.569082736968994 | Steps: 254
Episode: 10 | Reward: 15.0 | Polciy Loss: -4.770477294921875 | Steps: 269
Episode: 11 | Reward: 16.0 | Polciy Loss: -5.112329006195068 | Steps: 285
Episode: 12 | Reward: 13.0 | Polciy Loss: -5.12333345413208 | Steps: 298
Episode: 13 | Reward: 13.0 | Polciy Loss: -5.289356231689453 | Steps: 311
Episode: 14 | Reward: 13.0 | Polciy Loss: -5.442602634429932 | Steps: 324
Episode: 15 | Reward: 27.0 | Polciy Loss: -5.728825569152832 | Steps: 351
Episode: 16 | Reward: 18.0 | Polciy Loss: -5.945220470428467 | Steps: 369
Episode: 17 | Reward: 31.0 | Polciy Loss: -6.305583477020264 | Steps: 400
Episode: 18 | Reward: 27.0 | Polciy Loss: -6.6560282707214355 | Steps: 427
Episode: 19 | Reward: 17.0 | Polciy Loss: -6.719353199005127 | Steps: 444
Episode: 20 | Reward: 12.0 | Polciy Loss: -6.943479537963867 | Steps: 456
Episode: 21 | Reward: 22.0 | Polciy Loss: -7.107148170471191 | Steps: 478
Episode: 22 | Reward: 14.0 | Polciy Loss: -7.304765701293945 | Steps: 492
Episode: 23 | Reward: 13.0 | Polciy Loss: -7.461321830749512 | Steps: 505
Episode: 24 | Reward: 23.0 | Polciy Loss: -7.717576026916504 | Steps: 528
Episode: 25 | Reward: 18.0 | Polciy Loss: -7.813483715057373 | Steps: 546
Episode: 26 | Reward: 12.0 | Polciy Loss: -7.9400177001953125 | Steps: 558
Episode: 27 | Reward: 28.0 | Polciy Loss: -8.24671745300293 | Steps: 586
Episode: 28 | Reward: 19.0 | Polciy Loss: -8.30174732208252 | Steps: 605
Episode: 29 | Reward: 19.0 | Polciy Loss: -8.607390403747559 | Steps: 624
Episode: 30 | Reward: 28.0 | Polciy Loss: -9.003602981567383 | Steps: 652
Episode: 31 | Reward: 14.0 | Polciy Loss: -8.920430183410645 | Steps: 666
Episode: 32 | Reward: 99.0 | Polciy Loss: -9.865863800048828 | Steps: 765
Episode: 33 | Reward: 85.0 | Polciy Loss: -10.78511905670166 | Steps: 850
Episode: 34 | Reward: 24.0 | Polciy Loss: -10.955883026123047 | Steps: 874
Episode: 35 | Reward: 37.0 | Polciy Loss: -11.334739685058594 | Steps: 911
Episode: 36 | Reward: 21.0 | Polciy Loss: -11.586246490478516 | Steps: 932
Episode: 37 | Reward: 17.0 | Polciy Loss: -11.466083526611328 | Steps: 949
Episode: 38 | Reward: 147.0 | Polciy Loss: -12.80759334564209 | Steps: 1096
Episode: 39 | Reward: 86.0 | Polciy Loss: -13.653777122497559 | Steps: 1182
Episode: 40 | Reward: 200.0 | Polciy Loss: -15.207529067993164 | Steps: 1382
Episode: 41 | Reward: 200.0 | Polciy Loss: -16.80865478515625 | Steps: 1582
Episode: 42 | Reward: 200.0 | Polciy Loss: -19.032928466796875 | Steps: 1782
Episode: 43 | Reward: 200.0 | Polciy Loss: -20.355627059936523 | Steps: 1982
Episode: 44 | Reward: 175.0 | Polciy Loss: -21.957685470581055 | Steps: 2157
Episode: 45 | Reward: 200.0 | Polciy Loss: -23.999902725219727 | Steps: 2357
Episode: 46 | Reward: 200.0 | Polciy Loss: -25.36507797241211 | Steps: 2557
Episode: 47 | Reward: 200.0 | Polciy Loss: -27.064149856567383 | Steps: 2757
Episode: 48 | Reward: 200.0 | Polciy Loss: -28.914588928222656 | Steps: 2957
Episode: 49 | Reward: 200.0 | Polciy Loss: -29.58375358581543 | Steps: 3157
Episode: 50 | Reward: 183.0 | Polciy Loss: -31.013389587402344 | Steps: 3340
Episode: 51 | Reward: 182.0 | Polciy Loss: -33.223472595214844 | Steps: 3522
Episode: 52 | Reward: 190.0 | Polciy Loss: -34.39480972290039 | Steps: 3712
Episode: 53 | Reward: 190.0 | Polciy Loss: -35.08754348754883 | Steps: 3902
Episode: 54 | Reward: 200.0 | Polciy Loss: -35.72124099731445 | Steps: 4102
Episode: 55 | Reward: 200.0 | Polciy Loss: -37.89223098754883 | Steps: 4302
Episode: 56 | Reward: 200.0 | Polciy Loss: -39.21677780151367 | Steps: 4502
Episode: 57 | Reward: 161.0 | Polciy Loss: -39.85989761352539 | Steps: 4663
Episode: 58 | Reward: 200.0 | Polciy Loss: -42.41301727294922 | Steps: 4863
