
Episode: 1 | Reward: -1400.936493697854 | Polciy Loss: 6.251221179962158 | Steps: 200
Episode: 2 | Reward: -1307.8001843647626 | Polciy Loss: 10.541545867919922 | Steps: 400
Episode: 3 | Reward: -846.2475244985864 | Polciy Loss: 14.779892921447754 | Steps: 600
Episode: 4 | Reward: -1830.8423539667153 | Polciy Loss: 20.672645568847656 | Steps: 800
Episode: 5 | Reward: -1311.4420743373228 | Polciy Loss: 26.01354217529297 | Steps: 1000
Episode: 6 | Reward: -1180.5873253738068 | Polciy Loss: 29.70271873474121 | Steps: 1200
Episode: 7 | Reward: -1207.5178057268042 | Polciy Loss: 37.16716384887695 | Steps: 1400
Episode: 8 | Reward: -1046.7663328343056 | Polciy Loss: 40.533958435058594 | Steps: 1600
Episode: 9 | Reward: -1171.921389002966 | Polciy Loss: 46.95762252807617 | Steps: 1800
Episode: 10 | Reward: -869.2674273138443 | Polciy Loss: 50.62655258178711 | Steps: 2000
Episode: 11 | Reward: -1080.1427260943906 | Polciy Loss: 54.45816421508789 | Steps: 2200
Episode: 12 | Reward: -727.512181411418 | Polciy Loss: 60.192466735839844 | Steps: 2400
Episode: 13 | Reward: -1097.279351608508 | Polciy Loss: 67.78277587890625 | Steps: 2600
Episode: 14 | Reward: -828.4723354713045 | Polciy Loss: 69.37462615966797 | Steps: 2800
Episode: 15 | Reward: -856.6968571266051 | Polciy Loss: 71.01863861083984 | Steps: 3000
Episode: 16 | Reward: -1194.5726113737278 | Polciy Loss: 77.85877227783203 | Steps: 3200
Episode: 17 | Reward: -917.3001540024147 | Polciy Loss: 77.96409606933594 | Steps: 3400
Episode: 18 | Reward: -1053.3038948345247 | Polciy Loss: 86.4217758178711 | Steps: 3600
Episode: 19 | Reward: -1042.2634860780713 | Polciy Loss: 93.35253143310547 | Steps: 3800
Episode: 20 | Reward: -1116.0964954576978 | Polciy Loss: 93.43434143066406 | Steps: 4000
Episode: 21 | Reward: -1049.5978818022797 | Polciy Loss: 95.68775177001953 | Steps: 4200
Episode: 22 | Reward: -1025.3947046244446 | Polciy Loss: 97.04634857177734 | Steps: 4400
Episode: 23 | Reward: -1070.5793400914185 | Polciy Loss: 103.94446563720703 | Steps: 4600
Episode: 24 | Reward: -224.48454830373828 | Polciy Loss: 105.77967834472656 | Steps: 4800
Episode: 25 | Reward: -1201.125107880551 | Polciy Loss: 109.05765533447266 | Steps: 5000
Episode: 26 | Reward: -531.4925973516457 | Polciy Loss: 112.49618530273438 | Steps: 5200
Episode: 27 | Reward: -486.8866478344248 | Polciy Loss: 115.50716400146484 | Steps: 5400
Episode: 28 | Reward: -360.6995551237959 | Polciy Loss: 120.18302917480469 | Steps: 5600
Episode: 29 | Reward: -893.9468300131898 | Polciy Loss: 124.52481842041016 | Steps: 5800
Episode: 30 | Reward: -1041.33958057646 | Polciy Loss: 124.28733825683594 | Steps: 6000
Episode: 31 | Reward: -124.99017665168654 | Polciy Loss: 127.41209411621094 | Steps: 6200
Episode: 32 | Reward: -0.7352648729462766 | Polciy Loss: 127.69230651855469 | Steps: 6400
Episode: 33 | Reward: -127.27599776317116 | Polciy Loss: 132.5328369140625 | Steps: 6600
Episode: 34 | Reward: -365.3894606367441 | Polciy Loss: 137.34519958496094 | Steps: 6800
Episode: 35 | Reward: -241.04384912728315 | Polciy Loss: 135.05516052246094 | Steps: 7000
Episode: 36 | Reward: -252.14513772060823 | Polciy Loss: 140.33377075195312 | Steps: 7200
Episode: 37 | Reward: -125.34381422628225 | Polciy Loss: 138.66928100585938 | Steps: 7400
Episode: 38 | Reward: -738.1428439868203 | Polciy Loss: 149.17909240722656 | Steps: 7600
